Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,DNK,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48,47,47,47,47,46,46,45,44,43,42,39,37,35,33,31,29,27,26,24,23,22,22,21,21,20,20,19,18,18,18,
Dominican Republic,DOM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,755,731,709,690,672,656,641,626,609,592,573,554,536,518,502,487,473,460,448,436,422,408,395,385,377,369,362,353,343,333,321,
Algeria,DZA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4077,3999,3891,3759,3609,3441,3268,3090,2900,2728,2552,2369,2185,2202,1827,1688,1577,1491,1437,1414,1407,1416,1442,1475,1504,1523,1527,1516,1488,1444,1390,1335,
East Asia & Pacific (excluding high income),EAP,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199452,193816,185814,179418,173319,167148,158874,148208,137683,126659,115985,106636,99100,92328,104657,80823,76105,71759,92743,64339,61084,58191,55782,55103,52151,50675,49343,48150,46946,45545,44183,42699,
Early-demographic dividend,EAR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652870,669613,627412,616136,629152,582692,564400,544397,524802,498005,473994,453555,434480,419458,419130,394261,368359,351288,353919,314078,303720,276091,260704,246793,230702,217097,203225,188702,178155,167655,157721,150084,
East Asia & Pacific,EAS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203188,197287,189023,182391,176079,169900,161278,150479,139826,128678,117890,108425,100776,93896,106123,82199,77397,72968,93874,65398,62079,59843,56679,55967,52987,51486,50131,48912,47680,46253,44864,43353,
Europe & Central Asia (excluding high income),ECA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24745,25021,26428,25998,24434,23624,22497,20971,19513,19786,17018,15931,14904,13921,13007,12091,11228,10427,9678,9016,8446,7948,7554,7273,7056,6859,6671,6488,6276,6048,5841,5628,
Europe & Central Asia,ECS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32059,31990,33040,32438,30813,29959,28669,26830,24870,24583,21350,19936,18651,17464,16380,15324,14339,13415,12543,11756,11069,10468,9996,9664,9408,9170,8931,8685,8396,8081,7799,7514,
Ecuador,ECU,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,981,943,906,870,840,815,796,781,769,755,740,721,700,678,655,630,605,580,554,530,506,485,466,449,434,472,404,387,369,348,328,
"Egypt, Arab Rep.",EGY,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9332,8764,8253,7812,7440,7097,6761,6430,6096,5757,5439,5160,4924,4758,4679,4683,4775,4923,5076,5199,5285,5324,5325,5297,5253,5223,5218,5243,5302,5384,5441,5415,
